STATE,name,entryType,startTime,duration,initiatorType,nextHopProtocol,workerStart,redirectStart,redirectEnd,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,transferSize,encodedBodySize,decodedBodySize,serverTiming
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,2457.8999999976077,32.40000000005239,fetch,http/1.1,2459.899999998015,0,0,2472.69999999844,2472.69999999844,2472.69999999844,2472.69999999844,2472.69999999844,0,2472.69999999844,2486.6000000001804,2490.29999999766,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,2501.5999999995984,13.199999997596024,fetch,http/1.1,2503.099999998085,0,0,2503.099999998085,2503.099999998085,2503.099999998085,2503.099999998085,2503.099999998085,0,2503.099999998085,2511.2999999983003,2514.7999999971944,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,2603.5999999985506,12.99999999901047,fetch,,2604.8999999984517,0,0,2604.8999999984517,2604.8999999984517,2604.8999999984517,2604.8999999984517,2604.8999999984517,0,2604.8999999984517,2612.9000000000815,2616.599999997561,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,2621.100000000297,14.099999996687984,fetch,,2622.4999999976717,0,0,2622.4999999976717,2622.4999999976717,2622.4999999976717,2622.4999999976717,2622.4999999976717,0,2622.4999999976717,2629.6000000002095,2635.199999996985,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,2728.5999999985506,13.900000001740409,fetch,,2729.9999999995634,0,0,2729.9999999995634,2729.9999999995634,2729.9999999995634,2729.9999999995634,2729.9999999995634,0,2729.9999999995634,2738.59999999695,2742.500000000291,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,2746.899999998277,11.800000000221189,fetch,,2748.199999998178,0,0,2748.199999998178,2748.199999998178,2748.199999998178,2748.199999998178,2748.199999998178,0,2748.199999998178,2755.4999999993015,2758.6999999984982,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,2847.200000000157,13.999999999214197,fetch,,2848.599999997532,0,0,2848.599999997532,2848.599999997532,2848.599999997532,2848.599999997532,2848.599999997532,0,2848.599999997532,2857.7000000004773,2861.1999999993714,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,2866.20000000039,11.899999997694977,fetch,,2867.500000000291,0,0,2867.500000000291,2867.500000000291,2867.500000000291,2867.500000000291,2867.500000000291,0,2867.500000000291,2874.8999999988882,2878.099999998085,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,2970.6999999980326,13.800000000628643,fetch,,2971.9999999979336,0,0,2971.9999999979336,2971.9999999979336,2971.9999999979336,2971.9999999979336,2971.9999999979336,0,2971.9999999979336,2981.599999999162,2984.499999998661,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,2989.2999999974563,12.200000001030276,fetch,,2990.699999998469,0,0,2990.699999998469,2990.699999998469,2990.699999998469,2990.699999998469,2990.699999998469,0,2990.699999998469,2998.29999999929,3001.4999999984866,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,3093.300000000454,12.69999999931315,fetch,,3094.699999997829,0,0,3094.699999997829,3094.699999997829,3094.699999997829,3094.699999997829,3094.699999997829,0,3094.699999997829,3102.999999999156,3105.999999999767,0,31522,31522,
