STATE,name,entryType,startTime,duration,initiatorType,nextHopProtocol,workerStart,redirectStart,redirectEnd,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,transferSize,encodedBodySize,decodedBodySize,serverTiming
SW was awake,https://nonimportscript.surge.sh/network.json,resource,3439.9999999986903,233.59999999956926,fetch,http/1.1,3441.5999999982887,0,0,3454.9999999981083,3454.9999999981083,3454.9999999981083,3454.9999999981083,3454.9999999981083,0,3454.9999999981083,3658.899999998539,3673.5999999982596,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,3682.199999999284,192.10000000020955,fetch,http/1.1,3684.499999999389,0,0,3684.499999999389,3684.499999999389,3684.499999999389,3684.499999999389,3684.499999999389,0,3684.499999999389,3867.7999999999884,3874.2999999994936,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,4195.700000000215,129.0999999982887,fetch,,4198.999999996886,0,0,4198.999999996886,4198.999999996886,4198.999999996886,4198.999999996886,4198.999999996886,0,4198.999999996886,4308.899999999994,4324.799999998504,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,4329.499999999825,152.9999999984284,fetch,,4331.899999997404,0,0,4331.899999997404,4331.899999997404,4331.899999997404,4331.899999997404,4331.899999997404,0,4331.899999997404,4475.899999997637,4482.499999998254,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,4782.599999998638,277.2000000004482,fetch,,4785.399999997026,0,0,4785.399999997026,4785.399999997026,4785.399999997026,4785.399999997026,4785.399999997026,0,4785.399999997026,5054.099999997561,5059.799999999086,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,5070.700000000215,120.39999999979045,fetch,,5073.899999999412,0,0,5073.999999996886,5073.999999996886,5073.999999996886,5073.999999996886,5073.999999996886,0,5073.999999996886,5186.099999998987,5191.100000000006,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,5472.399999998743,160.2999999995518,fetch,,5475.9999999987485,0,0,5475.9999999987485,5475.9999999987485,5475.9999999987485,5475.9999999987485,5475.9999999987485,0,5475.9999999987485,5602.999999999156,5632.6999999982945,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,5620.299999998679,126.19999999878928,fetch,,5634.299999997893,0,0,5634.299999997893,5634.299999997893,5634.299999997893,5634.299999997893,5634.299999997893,0,5634.299999997893,5730.199999998149,5746.499999997468,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,6054.699999996956,231.9000000024971,fetch,,6056.9999999970605,0,0,6056.9999999970605,6056.9999999970605,6056.9999999970605,6056.9999999970605,6056.9999999970605,0,6056.9999999970605,6283.399999996618,6286.599999999453,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,6305.799999998271,93.40000000156579,fetch,,6307.499999998981,0,0,6307.499999998981,6307.499999998981,6307.499999998981,6307.499999998981,6307.499999998981,0,6307.499999998981,6396.199999999226,6399.199999999837,0,31522,31522,
