STATE,is,e_is,ofv,mbv,pc,ol
SW was awake,389.59999999860884,441.899999997986,460.49999999740976,478.10000000026776,2738.900000000285,3247.4999999976717
SW was stopped,414.49999999895226,472.99999999813735,491.20000000039,507.6000000008207,1780.2999999985332,1995.2999999986787
SW was awake,325.7999999987078,388.10000000012224,412.29999999995925,427.79999999766005,1296.5000000003783,2242.6999999988766
SW was stopped,379.4999999990978,428.70000000039,447.29999999981374,463.89999999883,1744.699999999284,2356.8000000013853
SW was awake,385.6000000014319,451.30000000062864,469.199999999546,493.90000000130385,1703.0999999988126,1703.9000000004307
SW was stopped,363.49999999947613,431.40000000130385,452.70000000164146,477.2999999986496,1655.9999999990396,1845.099999998638
SW was awake,388.9999999992142,453.19999999992433,473.0999999992491,489.7000000019034,1172.999999998865,1402.2000000004482
SW was stopped,363.70000000169966,422.3000000019965,442.6000000021304,460.10000000023865,1506.9000000003143,1677.1000000007916
SW was awake,329.20000000012806,414.0000000006694,454.99999999810825,473.2999999978347,1425.8999999983644,1820.9999999999127
SW was stopped,548.9000000015949,604.9999999995634,623.2000000018161,639.2000000014377,1579.700000002049,1769.1000000013446
SW was awake,406.2999999987369,454.99999999810825,474.9999999985448,493.99999999877764,2364.1999999999825,2365.2000000001863
SW was stopped,415.8999999999651,477.10000000006403,496.89999999827705,514.2999999989115,1536.8999999991502,1713.9999999999418
SW was awake,465.7000000006519,528.9000000011583,551.2000000016997,571.1999999984982,1614.1999999999825,1778.0000000020664
SW was stopped,387.8000000004249,440.8000000003085,461.20000000155414,478.6000000021886,1292.0000000012806,1464.0000000035798
SW was awake,588.9999999999418,639.500000001135,658.2999999991443,682.6000000000931,1817.5000000010186,1982.5999999993655
SW was stopped,366.20000000039,434.4999999993888,452.6999999980035,468.6999999976251,1010.999999998603,1576.6999999977998
SW was awake,338.79999999771826,438.5000000002037,460.2999999988242,484.1999999989639,1281.9999999992433,1282.599999998638
SW was stopped,341.1999999989348,432.89999999979045,454.20000000012806,471.59999999712454,1610.3000000002794,1773.299999997107
SW was awake,362.39999999816064,441.1000000000058,459.2999999986205,480.70000000006985,1279.2000000008557,1411.7999999980384
SW was stopped,481.40000000057626,523.7999999990279,541.9000000001688,559.6000000005006,1562.099999999191,1562.900000000809
