STATE,is,e_is,ofv,mbv,pc,ol
SW was awake,333.8000000003376,421.09999999956926,445.9999999999127,463.40000000054715,1533.4000000002561,1613.3999999983644
SW was stopped,355.29999999926076,428.2999999995809,446.29999999961,461.4999999976135,998.8999999986845,1151.4999999999418
SW was awake,301.29999999917345,358.8000000017928,379.3000000005122,399.49999999953434,1173.0999999999767,1365.300000001298
SW was stopped,313.6000000013155,390.99999999962165,411.8000000016764,431.1999999990803,1262.9000000015367,1658.4000000002561
SW was awake,361.3999999979569,407.19999999782885,426.7999999974563,442.9999999993015,1115.29999999766,1116.599999997561
SW was stopped,308.8999999999942,372.800000001007,390.59999999881256,406.5999999984342,1492.3000000017055,1628.3000000003085
SW was awake,332.50000000043656,375.2999999996973,393.10000000114087,410.2999999995518,1423.5000000007858,1931.4000000013039
SW was stopped,360.19999999916763,430.00000000029104,449.5999999999185,465.1999999987311,1400.499999999738,1560.6000000007043
SW was awake,428.10000000099535,496.50000000110595,515.1000000005297,530.800000000454,926.2000000016997,1043.7999999994645
SW was stopped,408.69999999995343,464.89999999903375,482.399999997142,497.59999999878346,889.5999999986088,890.2999999991152
SW was awake,289.59999999642605,370.599999998376,391.79999999760184,408.69999999995343,980.6999999964319,1059.1999999996915
SW was stopped,364.09999999887077,444.70000000001164,463.7000000002445,479.59999999875436,902.9000000009546,955.2000000003318
SW was awake,390.8000000010361,464.50000000186265,484.1000000014901,499.6000000028289,1139.500000001135,1195.2000000019325
SW was stopped,363.80000000281143,436.3000000012107,454.20000000012806,469.60000000035507,1319.8000000011234,1320.8000000013271
SW was awake,293.7000000019907,362.4000000017986,380.4999999993015,396.50000000256114,1116.5000000000873,1315.099999999802
SW was stopped,477.39999999976135,550.9999999994761,568.9000000020314,584.0000000025611,1759.7999999998137,1760.8000000000175
SW was awake,329.90000000063446,409.1999999982363,427.40000000048894,442.9999999993015,899.6000000006461,1365.0999999990745
SW was stopped,337.70000000004075,401.29999999771826,423.4999999971478,443.19999999788706,1375.9999999965657,1376.9999999967695
SW was awake,376.0000000002037,447.0000000001164,466.09999999782303,481.89999999885913,1131.999999997788,1148.6000000004424
SW was stopped,305.00000000029104,355.99999999976717,375.19999999858555,393.0999999975029,1332.9999999987194,1333.9999999989232
SW was awake,309.9000000001979,409.9999999998545,429.0000000000873,445.79999999768916,939.8999999975786,1149.7999999992317
SW was stopped,399.10000000236323,472.60000000096625,491.20000000039,507.4000000022352,1282.8000000008615,1283.900000002177
